Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4
23040,64514,44805.79583,support.eu@Company.com,RE : Company Support issue submit,"Dear *****(PERSON), Thank you for contacting *****(PERSON). We hope you’re doing well. This email is regarding your concern about the unknown charge on your account. I'll be more than happy to assist you with your inquiry. In this email, I will provide you with the necessary steps. If you run into any issues while following the steps, please keep reading as you will also find below the information we require from you to be able to investigate. If you don’t provide us the necessary information, we may not be able to help you further. The charges you received are likely to be related to a Company service or subscription you have signed up for. If you would like to cancel your subscription, please follow the guideline below: At the moment we do not have the necessary permission to cancel subscriptions on behalf of our users, but I will gladly walk you through the process on how to cancel it. · If you still have a Company phone, you can access cancel all your subscriptions by following these steps: Settings > Account center > Payments & purchases > Subscriptions. Choose the subscription you want to cancel and tap Cancel Subscription. Once the subscription has been canceled, your account will not be charged from the next month onwards. · If you don’t have a Company phone anymore, you can manage all your subscriptions on our online portal following these steps: Go to https://id7.cloud.Company.com/CAS/portal/login.html > Log in > Account Center > Payment and purchases > Subscriptions/Password-free payments and click Remove. If you will access our online portal through your phone's browser, please enable first the desktop site, so you will be able to see the ""Payment and Purchases"" window. If, for any reason, you need further assistance with your inquiry, please send us the following information: 1. You Company ID (Phone number include country code/ Email address): 2. Your request: eg. Cancel Company Cloud subscription/ Cancel Company Music subscriptions/ Cancel Company video subscriptions 3. Proof of transactions: a) If the payment was made with your Bank card Copy of your bank statement showing the charges from *****(PERSON) SE and the last 4 digits of your bank card. b) If the payment was made with your PayPal a. A screenshot of payment with transaction invoice number available c) If the payment was made with your Phone The phone number get charged A screenshot of phone bill showing the charges from *****(PERSON) SE We hope this information is useful and it solves your issue. For further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin *****(PERSON) Customer Support team *****(PERSON) SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. *****(PERSON) SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 19:45 To : xxxxx@xxxx.com Subject : *****(PERSON) Support issue submit Product: Cloud Requests: Upgrade Cloud storage Contact Full Name: *****(PERSON) Heteš Phone Number: *****(PHONE) Contact Email Address: xxxxx@xxxx.com Company Id Account: *****(PHONE) Summary of the issue: *****(PERSON). Platím za niečo, čo nevyužívam Zrušiť účet a poplatok zaň. Ďakujem Home | News | Events | Products | Partners | Support Copyright *****(PERSON) SE",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details
23039,64496,44805.77222,support.eu@Company.com,Cancel,As I do not use this service and no longer an owner of a Company phone I would like to cancel my membership Sent from Samsung Mobile on O2 Get Outlook for Android,In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23039,64500,44805.77778,support.eu@Company.com,RE : Cancel,"Dear user, Thank you for contacting us. This email is regarding your concern about the unknown charges. I'll be more than happy to assist you with your inquiry, and I will do my absolute best to help. The charges you received are likely to be related to a Company service or subscription you have signed up for. Judging by the price, this is likely a Company Cloud Subscription. If you would like to cancel your subscription, please follow the guideline below: From your computer, access the official website: login to https://id7.cloud.Company.com/CAS/portal/login.html and go to Payment and purchases > Subscriptions/Password-free payments and touch Remove. Please be aware that if you access the online portal with your Phone, you should first activate the desktop version of the browser. If the subscription disappears from your account, it indicates that it has been canceled successfully. Once canceled, no deduction will be made from your account from the following month onward. If you need further assistance, please provide us the following information, to investigate your account and provide more information around the subscription: 1. Your Company ID (Phone number include country code/ Email address): 2. Your request: e.g., Cancel Company Cloud subscription/ Cancel Company Music subscription/ Cancel Company video subscription 3. Proof of transactions: a) If the payment was made with your Bank card: Copy of your bank statement showing the charges from Company SE and the last 4 digits of your bank card. b) If the payment was made with your PayPal: A screenshot of payment with transaction invoice number available c) If the payment was made with your Phone: The phone number get charged A screenshot of phone bill showing the charges from Company SE If you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. We would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. Therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 19:32 To : xxxxx@xxxx.com Subject : Cancel As I do not use this service and no longer an owner of a Company phone I would like to cance l my membership Sent from Samsung Mobile on O2 Get Outlook for Android",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Query deduction details
23037,64492,44805.75556,support.eu@Company.com,Company ID Abonnement,"Guten Abend, Ich habe ein Problem. Ich habe ein Company ID Konto: xxxxx@xxxx.com. Ich möchte dieses Konto und das Abonnement kündigen. Heute sind 9,50 Euro von meinem Bankkonto eingezogen worden. Leider finde ich dieses Abonnement nicht in meinem Company ID Konto. Vielleicht können Sie mir helfen, das Lastschriftverfahren zu kündigen, damit ich mein Company Konto löschen kann. Ich bitte um Mitteilung. Mit freundlichen Grüßen *****(PER) xxxxx@xxxx.com",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23037,64497,44805.77361,support.eu@Company.com,RE : Company ID Abonnement,"Sehr geehrter Kunde, vielen Dank, dass Sie mit *****(PER) Kontakt aufgenommen haben. Wir hoffen, dass es Ihnen gut geht. In dieser E-Mail geht es um Ihr Anliegen, Ihre Company-ID zu löschen und Ihr Abonnement zu kündigen. Keine Sorge, ich verstehe Ihr Anliegen sehr gut und ich werde mein Bestes tun, um Ihnen die bestmögliche Lösung zu bieten. Leider ist es uns aufgrund der Datenschutzbestimmungen nicht gestattet, Konten und Abonnements im Namen unserer Kunden zu löschen. Sie können sich jedoch jederzeit abmelden, indem Sie die folgenden Schritte ausführen: Über Ihr Company-Handy: Einstellungen > Kontocenter > Zahlung und Einkäufe > Abonnements und tippen Sie auf den Dienst, dessen Abonnement Sie kündigen möchten. Greifen Sie von Ihrem Computer aus auf die offizielle Website zu: Melden Sie sich auf https://id7.cloud.Company.com/CAS/portal/login.html an und gehen Sie zu Konto & Sicherheit > Zahlung und Einkäufe > Abonnements/Passwortlose Zahlungen und tippen Sie auf Entfernen. Bitte beachten Sie, dass Sie, wenn Sie die Website von Ihrem Handy aus aufrufen, die Desktop-Version aktivieren müssen, damit die Registerkarte Zahlungen und Einkäufe angezeigt wird. Wenn das Abonnement aus Ihrem Konto verschwindet, bedeutet dies, dass es erfolgreich gekündigt wurde. Nach der Kündigung wird ab dem nächsten Monat nichts mehr von Ihrem Konto abgebucht. Wenn Sie weitere Hilfe benötigen, stellen Sie uns bitte die folgenden Informationen zur Verfügung, damit wir Ihr Konto überprüfen und weitere Informationen über das Abonnement bereitstellen können: 1. Ihre Company-ID (Telefonnummer mit Landesvorwahl/E-Mail-Adresse): 2. Ihr Anliegen: z.B. Company Cloud Abonnement kündigen/ Company Musik Abonnement kündigen/ Company Video Abonnement kündigen 3. Nachweis der Transaktionen: a) Wenn die Zahlung mit Ihrer Bankkarte erfolgt ist: - Kopie Ihres Kontoauszugs mit den Abbuchungen von *****(PER) SE und den letzten 4 Ziffern Ihrer Bankkarte. b) Wenn die Zahlung mit Ihrem PayPal erfolgt ist: - Ein Screenshot der Zahlung mit der Nummer der Transaktionsrechnung liegt vor c) Wenn die Zahlung mit Ihrem Telefon erfolgt ist: - Die Telefonnummer, die belastet wurde - Ein Screenshot der Telefonrechnung, der die Gebühren von *****(PER) SE zeigt Wenn Sie Ihre Company ID nicht mehr benötigen, können Sie sie löschen. Nachdem Sie Ihre Company ID gelöscht haben, werden Ihre persönlichen Daten auf dem Server bereinigt und können nicht wiederhergestellt werden. Ihre persönlichen Daten in den Sicherungs- und Protokolldateien des Servers werden innerhalb von sechs Monaten automatisch bereinigt. Um ein Konto zu löschen, gehen Sie zu Einstellungen > Anmelden mit Company ID > Datenschutzzentrum > Konto löschen. Wenn das Konto ein Unterkonto hat, verwenden Sie bitte zuerst das Unterkonto, um sich anzumelden, und löschen Sie das Unterkonto. Löschen Sie dann das Hauptkonto. Wenn ""Konto löschen"" nicht angezeigt wird, gehen Sie zum Google Play Store, um Company Mobile Services zu aktualisieren, die offizielle Company-App für Company ID. Benutzer können das Konto auch über das Webportal löschen. Loggen Sie sich zunächst unter der unten angegebenen URL ein und klicken Sie auf Einstellungen in der oberen rechten Ecke. Scrollen Sie auf der Seite nach unten, bis ""Konto löschen"" angezeigt wird. Klicken Sie auf , um das Passwort einzugeben und das Konto zu löschen. https://hwid7.vmall.com/CAS/portal/loginAuth.html?validated=true&themeName=red&service=https%3A%2F%2Fhwid7.vmall.com%2FCAS%2Fportal%2FuserCenter%2Findex.html&loginChannel=*****(PHONE)&reqClientType=39&lang=en-us&countryCode=de Wir würden uns sehr über Ihr Feedback zu unserem E-Mail-Austausch freuen, da wir Ihren Input benötigen, um unseren Service weiter zu verbessern. Wir laden Sie daher ein, die Umfrage auszufüllen, die Sie in Kürze über die E-Mail-Adresse erhalten werden, die Sie zur Kontaktaufnahme mit uns verwendet haben. Wenn Sie weitere Fragen haben, können Sie gerne auf diesen E-Mail-Thread antworten, und wir werden Ihnen gerne weiterhelfen. Mit freundlichen Grüßen, Andrea *****(PER) Customer Support team *****(PER) SE is a company incorporated under the laws of *****(LOC) with its headquarters in *****(LOC), *****(LOC). *****(PER) SE is the provider of Company Mobile Services to Company and Honor device owners in Europe, Canada, *****(LOC), New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 19:08 To : xxxxx@xxxx.com Subject : Company ID Abonnement Guten Abend, Ich habe ein Problem. Ich habe ein Company ID Konto: xxxxx@xxxx.com. Ich möchte dieses Konto und das Abonnement kündigen. Heute sind 9,50 Euro von meinem Bankkonto eingezogen worden. Leider finde ich dieses Abonnement nicht in meinem Company ID Konto. Vielleicht können Sie mir helfen, das Lastschriftverfahren zu kündigen, damit ich mein Company Konto löschen kann. Ich bitte um Mitteilung. Mit freundlichen Grüßen *****(PER) xxxxx@xxxx.com",In-App Purchase / Cancel /terminate subscription,In-App Purchase ,Suggestion,Payment,Subscription cancellation
23035,64488,44805.75278,support.eu@Company.com,Company Support issue submit,Product: AppGallery & Games Requests: Refund request : app/item purchased not working as expected Contact Full Name: Manuela Ferracin Contact Email Address: xxxxx@xxxx.com Summary of the issue: Sto provando ad effettuare un acquisto su un app playrix con poste pay che non risulta essere ne bloccata ne scaduta. Ho fatto altri acquisti su questa app ma stavolta proprio non mi fa fare niente Home | News | Events | Products | Partners | Support Copyright Company SE,In-App Purchase / Unable to make In-App Purchases,In-App Purchase ,Problem/Fault,Payment issue,Payment failed
23035,64490,44805.75833,support.eu@Company.com,RE : Company Support issue submit,"Dear *****(PERSON), Thank you for reaching us. This email is in regards to your problem regarding making an In-app purchase. Please follow these steps: Go to phone Settings > Account centre > Payment and purchases > Purchase history and check if this payment is listed in the purchase history or not. Then please send us the following information so that we can proceed with an investigation: · Whether the payment is listed or not in the purchase history · Send us your Company ID (your Company ID can be found by going to: phone Settings > Account centre. Your Company ID will be at the top of the screen, right below your profile picture). · The date(s) you tried to make the purchase · The error message that pops up · A screenshot or a screen recording of the payment issue (if possible) · Details of the items you attempted to purchase · Your device model (to check this, go to phone Settings > About phone > Model) · Your Company ID version (to check this, go to phone Settings > Account centre > Settings > About) · Order number To learn more about Company In-App Purchases, please refer to this link: https://Company.com/en/SupportHome/Companyappgallery/appgallery003.html For further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 19:04 To : xxxxx@xxxx.com Subject : Company Support issue submit Product: AppGallery & Games Requests: Refund request : app/item purchased not working as expected Contact Full Name: *****(PERSON) Ferracin Contact Email Address: xxxxx@xxxx.com Summary of the issue: Sto provando ad effettuare un acquisto su un app playrix con poste pay che non risulta essere ne bloccata ne scaduta. Ho fatto altri acquisti su questa app ma stavolta proprio non mi fa fare niente Home | News | Events | Products | Partners | Support Copyright Company SE",In-App Purchase / Unable to make In-App Purchases,In-App Purchase ,Suggestion,Invoice,Invoice related request
23035,64488,,support.eu@Company.com,Company Support issue submit,Product: AppGallery & Games Requests: Refund request : app/item purchased not working as expected Contact Full Name: Manuela Ferracin Contact Email Address: xxxxx@xxxx.com Summary of the issue: Sto provando ad effettuare un acquisto su un app playrix con poste pay che non risulta essere ne bloccata ne scaduta. Ho fatto altri acquisti su questa app ma stavolta proprio non mi fa fare niente Home | News | Events | Products | Partners | Support Copyright Company SE,In-App Purchase / Unable to make In-App Purchases,In-App Purchase ,Problem/Fault,Payment issue,Payment failed
23028,64462,44805.7,support.eu@Company.com,VIP privilege,"Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE (xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you!",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64471,44805.72847,support.eu@Company.com,RE : VIP privilege,"Dear *****(PERSON), Thank you for contacting us. May I ask you to clarify your request so that we can give you the best possible solution? I am able to understand that a payment was made from your account but it is not clear yet to me what is your request towards it. Thank you for your understanding. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:48 To : xxxxx@xxxx.com Subject : VIP privilege Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE ( xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you!",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Payment,Query deduction details
23028,64477,44805.73611,support.eu@Company.com,Re: VIP privilege,"Sorry for the bad English I really trying to explaing to you. After a attack in my account a made hard reset to my Company p40pro and I lost the previus account. I am logging now with another email account to my phone. Gspace does automatic Login according to the phone ID. No with a new id I am not VIP. I hope to help you... I Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης έγραψε: Dear *****(PERSON), Thank you for contacting us. May I ask you to clarify your request so that we can give you the best possible solution? I am able to understand that a payment was made from your account but it is not clear yet to me what is your request towards it. Thank you for your understanding. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:48 To : xxxxx@xxxx.com Subject : VIP privilege Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE ( xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you! *****(PHONE)",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64478,44805.73889,support.eu@Company.com,RE : VIP privilege,"Dear *****(PERSON), Thank you for contacting us. We have received your support request. One of our experts will contact you as soon as possible. We will contact you via the contact email you provided as soon as we receive updates. If you have any further questions, please do not hesitate to contact us. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 18:40 To : xxxxx@xxxx.com Subject : Re: VIP privilege Sorry for the bad English I really trying to explaing to you. After a attack in my account a made hard reset to my Company p40pro and I lost the previus account. I am logging now with another email account to my phone. Gspace does automatic Login according to the phone ID. No with a new id I am not VIP. I hope to help you... I Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης < xxxxx@xxxx.com> έγραψε: Dear *****(PERSON), Thank you for contacting us. May I ask you to clarify your request so that we can give you the best possible solution? I am able to understand that a payment was made from your account but it is not clear yet to me what is your request towards it. Thank you for your understanding. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:48 To : xxxxx@xxxx.com Subject : VIP privilege Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE ( xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you! *****(PHONE)",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64481,44805.73819,support.eu@Company.com,Re: VIP privilege,"Now my new ID is *****(PHONE). I don't remember the old Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης Tasos Koronis έγραψε: Sorry for the bad English I really trying to explaing to you. After a attack in my account a made hard reset to my Company p40pro and I lost the previus account. I am logging now with another email account to my phone. Gspace does automatic Login according to the phone ID. No with a new id I am not VIP. I hope to help you... I Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης έγραψε: Dear *****(PERSON), Thank you for contacting us. May I ask you to clarify your request so that we can give you the best possible solution? I am able to understand that a payment was made from your account but it is not clear yet to me what is your request towards it. Thank you for your understanding. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:48 To : xxxxx@xxxx.com Subject : VIP privilege Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE ( xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you! *****(PHONE)",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
23028,64487,44805.75208,support.eu@Company.com,Re: VIP privilege,"Thank you very much for support and I am very happy to provide you any other information you need for identification. Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης έγραψε: Dear *****(PERSON), Thank you for contacting us. We have received your support request. One of our experts will contact you as soon as possible. We will contact you via the contact email you provided as soon as we receive updates. If you have any further questions, please do not hesitate to contact us. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 18:40 To : xxxxx@xxxx.com Subject : Re: VIP privilege Sorry for the bad English I really trying to explaing to you. After a attack in my account a made hard reset to my Company p40pro and I lost the previus account. I am logging now with another email account to my phone. Gspace does automatic Login according to the phone ID. No with a new id I am not VIP. I hope to help you... I Στις Πέμπτη 1 Σεπτεμβρίου *****(PHONE), ο χρήστης < xxxxx@xxxx.com> έγραψε: Dear *****(PERSON), Thank you for contacting us. May I ask you to clarify your request so that we can give you the best possible solution? I am able to understand that a payment was made from your account but it is not clear yet to me what is your request towards it. Thank you for your understanding. Sincerely, Madalin Company Customer Support team Company SE is a company incorporated under the laws of Ireland with its headquarters in Dublin, Ireland. Company SE is the provider of Company Mobile Services to Company and Honor device owners in *****(LOC), Canada, Australia, New Zealand and other countries. From : xxxxx@xxxx.com Sent : Thursday 01 September *****(PHONE) 17:48 To : xxxxx@xxxx.com Subject : VIP privilege Hi! About order : "" *****(PERSON) konstantinou 15/7/*****(PHONE) 7:47 μ.μ. You sent a payment of €15.99 EUR to Company SE ( xxxxx@xxxx.com) Transaction ID *****(PHONE)MW*****(PHONE)D Invoice ID P*****(PHONE)C4E7F453. Transaction date Jul 15, *****(PHONE) 20:46:46 GMT+03:00 Merchant Company SE xxxxx@xxxx.com It is about id *****(PHONE).Because of email account had hacked, now it has change. If you can update my account to vip again I will be obliged to you. Thank you! *****(PHONE) *****(PHONE)",In-App Purchase / Status of the subscription query,In-App Purchase ,Suggestion,Other,
