,Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4,Unnamed: 11,Unnamed: 12,y,ic_deduplicated
10,23555,65977,,support.pt@aspiegel.com,[AppGallery]Problemas e sugestões,"Descrição Não compreendo o DNS nunca estar a funcionar', será que me podem ajudau??? Informações de contacto *****(PHONE). - xxxxx@xxxx.com Enviado do meu telemóvelDescription I don't understand why DNS is never working', can you help me? Contact information *****(PHONE). - xxxxx@xxxx.com Sent from my cell phone",AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server,,,Problem/Fault,"Descrição Não compreendo o DNS nunca estar a funcionar', será que me podem ajudau??? Informações de contacto *****(PHONE). - xxxxx@xxxx.com Enviado do meu telemóvelDescription I don't understand why DNS is never working', can you help me? Contact information *****(PHONE). - xxxxx@xxxx.com Sent from my cell phone
"
11,23534,65883,,support.pt@aspiegel.com,[AppGallery]Probleme und Vorschläge,Beschreibung KOMIT Lässt sich nich INSTALLIEREN. Kontaktinformationen xxxxx@xxxx.com Von meinem Huawei-Telefon gesendet,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,,Can't install Apps,,Problem/Fault,"Beschreibung KOMIT Lässt sich nich INSTALLIEREN. Kontaktinformationen xxxxx@xxxx.com Von meinem Huawei-Telefon gesendet
"
12,23477,65661,,support.pt@aspiegel.com,Re: support.pt 自动回复: [AppGallery]Problems and suggestions,"Huawi health On Mon, 5 Sept *****(PHONE), 1:40 pm , wrote: Hi, We appreciate your contact! Our support representatives will check your message and get back to you as soon as possible. We appreciate your patience and cooperation. Sincerely, Aspiegel Customer Support Team. _____________________________________ Aspiegel SE is a company incorporated under the laws of Ireland, headquartered in Dublin, Ireland. Aspiegel SE is the Huawei Mobile Services provider for Huawei and Honor device owners in Europe, Canada, Australia, New Zealand and other countries.Huawi health On Mon, 5 Sept *****(PHONE), 1:40 pm , wrote: Olá, Agradecemos o seu contacto! Nossos representantes de suporte irão verificar sua mensagem e entrar em contacto com você assim que possível. Agradecemos sua paciência e colaboração. Sinceramente, Equipa de Suporte ao Cliente Aspiegel. _____________________________________ A Aspiegel SE é uma empresa constituída de acordo com as leis da Irlanda, com sede em Dublin, Irlanda. Aspiegel SE é o provedor de Huawei Mobile Services para os proprietários de dispositivos Huawei e Honor na Europa, Canadá, Austrália, Nova Zelândia e outros países.",AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,"Huawi health
 Hi, We appreciate your contact! Our support representatives will check your message and get back to you as soon as possible. We appreciate your patience and cooperation. Sincerely, Aspiegel Customer Support Team. _____________________________________ Aspiegel SE is a company incorporated under the laws of Ireland, headquartered in Dublin, Ireland. Aspiegel SE is the Huawei Mobile Services provider for Huawei and Honor device owners in Europe, Canada, Australia, New Zealand and other countries.Huawi health
 Olá, Agradecemos o seu contacto! Nossos representantes de suporte irão verificar sua mensagem e entrar em contacto com você assim que possível. Agradecemos sua paciência e colaboração. Sinceramente, Equipa de Suporte ao Cliente Aspiegel. _____________________________________ A Aspiegel SE é uma empresa constituída de acordo com as leis da Irlanda, com sede em Dublin, Irlanda. Aspiegel SE é o provedor de Huawei Mobile Services para os proprietários de dispositivos Huawei e Honor na Europa, Canadá, Austrália, Nova Zelândia e outros países.
"
13,23452,65616,,support.pt@aspiegel.com,[AppGallery]Problemas e sugestões,Description can't install Contact Information 962 225 736 Sent from my Huawei cell phone.Descrição não dá pra instalar Informações de contacto 962 225 736 Enviado do meu telemóvel Huawei.,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,"Description can't install Contact Information 962 225 736 Sent from my Huawei cell phone.Descrição não dá pra instalar Informações de contacto 962 225 736 Enviado do meu telemóvel Huawei.
"
14,23429,65569,,support.pt@aspiegel.com,[AppGallery]Problemas e sugestões,Description does not install Contact information xxxxx@xxxx.comDescrição não instala Informações de contacto xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps,,,Problem/Fault,"Description does not install Contact information xxxxx@xxxx.comDescrição não instala Informações de contacto xxxxx@xxxx.com
"
15,23395,65482,,support.pt@aspiegel.com,[AppGallery]Problemi e soluzioni,Description In the area where I am (*****(LOC)) there is no connection (3 Fastweb devices) and we have difficulties with calls. No connection to the Internet. Contact information *****(PHONE) - *****(PHONE) - *****(PHONE) Sent from my Huawei tabletDescrizione Nella zona in cui mi trovo (*****(LOC)) non c'è connessione (3 dispositivi Fastweb) ed abbiamo difficoltà con le chiamate. Nessuna connessione ad Internet. Informazioni di contatto *****(PHONE) - *****(PHONE) - *****(PHONE) Inviato dal mio tablet Huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,"Description In the area where I am (*****(LOC)) there is no connection (3 Fastweb devices) and we have difficulties with calls. No connection to the Internet. Contact information *****(PHONE) - *****(PHONE) - *****(PHONE) Sent from my Huawei tabletDescrizione Nella zona in cui mi trovo (*****(LOC)) non c'è connessione (3 dispositivi Fastweb) ed abbiamo difficoltà con le chiamate. Nessuna connessione ad Internet. Informazioni di contatto *****(PHONE) - *****(PHONE) - *****(PHONE) Inviato dal mio tablet Huawei
"
16,23230,65024,,support.pt@aspiegel.com,[AppGallery]Проблеми и предложения,Description What's up Contact info *****(PHONE) Sent from my phone HuaweiОписание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,"Description What's up Contact info *****(PHONE) Sent from my phone HuaweiОписание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei
"
17,23229,65022,,support.pt@aspiegel.com,[AppGallery]Проблеми и предложения,Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,"Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei
"
18,23212,64982,,support.pt@aspiegel.com,[AppGallery]Проблеми и предложения,OK Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,,,,Others,"OK Описание What's up Информация за контакт *****(PHONE) Изпратено от моя телефон Huawei
"
19,23194,64946,,support.pt@aspiegel.com,[AppGallery]Problemer og forslag,Beskrivelse Installation fejl Kontaktoplysninger *****(PHONE),AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,"Beskrivelse Installation fejl Kontaktoplysninger
"
20,23193,64944,,support.pt@aspiegel.com,[AppGallery]Problemer og forslag,Beskrivelse Installation fejl Kontaktoplysninger +*****(PHONE) *****(PER),AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,"Beskrivelse Installation fejl Kontaktoplysninger +*****(PHONE) *****(PER)
"
21,23189,64938,,support.pt@aspiegel.com,[AppGallery]Проблеми и предложения,Описание Умолявам ви управете ги. Информация за контакт xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,"Описание Умолявам ви управете ги. Информация за контакт xxxxx@xxxx.com
"
22,23188,64936,,support.pt@aspiegel.com,[AppGallery]Проблеми и предложения,Описание У. Информация за контакт xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,"Описание У. Информация за контакт xxxxx@xxxx.com
"
23,23056,64550,44805.93403,support.pt@aspiegel.com,[AppGallery]Problems and suggestions,"Description My phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. I wish to report that everything used here is still not private. As we speak, I'm scared and frustrated about this issue. Contact information xxxxx@xxxx.com",AppGallery &amp; Games / Report a scam or fraud ,AppGallery &amp; Games ,Suggestion,General,Personal data,,,Suggestion,"Description My phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. I wish to report that everything used here is still not private. As we speak, I'm scared and frustrated about this issue. Contact information xxxxx@xxxx.com
"
24,23055,64549,44805.91319,support.pt@aspiegel.com,[AppGallery]Problemy i sugestie,Opis Brak możliwości instalacji Informacje kontaktowe xxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue,,,Problem/Fault,"Opis Brak możliwości instalacji Informacje kontaktowe xxxxx@xxxx.com
"
